"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"111332","CTHBP|TCB|PKM|PKM2|HEL-S-30|OIP3|PK3|5315|THBP1","CTHBP","5315","5315","false","5315","9606",""
"113054","CCT3|TCP-1-gamma|RP11-443G18.6|7203|CCT-gamma|PIG48|TRIC5|CCTG","CCT3","7203","7203","false","7203","9606",""
"112810","D6S230E|CCT-alpha|CCT1|CCTa|6950|TCP1|TCP-1-alpha","D6S230E","6950","6950","false","6950","9606",""
"115825","CCTETA|NIP7-1|10574|CCTH|CCT7|TCP1ETA","CCTETA","10574","10574","false","10574","9606",""
"124259","TUBA1C|TUBA6|bcm948|84790","TUBA1C","84790","84790","false","84790","9606",""
"115656","TUBB2C|Beta2|10383|TUBB2|RP13-122B23.2|TUBB4B","TUBB2C","10383","10383","false","10383","9606",""
"115654","10381|TUBB4|TUBB3|CDCBM1|beta-4|CFEOM3A|CFEOM3|FEOM3|CDCBM","TUBB4","10381","10381","false","10381","9606",""
"115655","TUBB4|DYT4|10382|beta-5|TUBB4A","TUBB4","10382","10382","false","10382","9606",""
"111251","5230|MIG10|PGK1|PGKA|HEL-S-68p|RP4-570L12.1","MIG10","5230","5230","false","5230","9606",""
"111678","SUG-1|p45|p45/SUG|PSMC5|S8|TRIP1|SUG1|5705|TBP10","SUG-1","5705","5705","false","5705","9606",""
"119818","53918|CGI-17|PRO1770|PELO","CGI-17","53918","53918","false","53918","9606",""
"111142","PCNA|5111|ATLD2","PCNA","5111","5111","false","5111","9606",""
"110827","4752|RP11-248G5.5|NEK3|HSPK36","RP11-248G5.5","4752","4752","false","4752","9606",""
"112108","RP11-513M16.6|S6|RPS6|6194","RP11-513M16.6","6194","6194","false","6194","9606",""
"132490","SET8|PR-Set7|SETD8|387893|KMT5A|SET07","SET8","387893","387893","false","387893","9606",""
"106962","ATC|ATD|TEL1|ATE|ATM|ATDC|TELO1|AT1|ATA|472","ATC","472","472","false","472","9606",""
"114907","9531|CAIR-1|BAG3|MFM6|BIS|BAG-3","CAIR-1","9531","9531","false","9531","9606",""
"121920","ARP-9|CEM-15|60489|APOBEC3G|ARP9|dJ494G10.1|MDS019|A3G|bK150C2.7|ARCD|CEM15","ARP-9","60489","60489","false","60489","9606",""
"108822","KU70|2547|CTCBF|XRCC6|CTC75|CTA-216E10.7|G22P1|ML8|TLAA","KU70","2547","2547","false","2547","9606",""
"123173","80204|FBX11|UG063H01|UBR6|VIT1|FBXO11|PRMT9","FBX11","80204","80204","false","80204","9606",""
"125732","HIST4H4|121504|H4/p","HIST4H4","121504","121504","false","121504","9606",""
"119792","ACID2|PTOV-1|53635|PTOV1|PP642","ACID2","53635","53635","false","53635","9606",""
"115563","HSPABP2|CHIP|10273|UBOX1|NY-CO-7|SCAR16|LA16c-313D11.6|STUB1|SDCCAG7","HSPABP2","10273","10273","false","10273","9606",""
"111564","AAG6|5578|PKC-alpha|PRKCA|PKCA|PRKACA","AAG6","5578","5578","false","5578","9606",""
"106665","BETA-ARK1|156|GRK2|ADRBK1|BARK1","BETA-ARK1","156","156","false","156","9606",""
"107057","BAX|BCL2L4|581","BAX","581","581","false","581","9606",""
"112092","L36A|RP1-164F3.1|L44L|RPL44|RPL36A|6173|MIG6","L36A","6173","6173","false","6173","9606",""
"106829","332|API4|BIRC5|EPR-1","API4","332","332","false","332","9606",""
"113139","TUBL2|7288|TULP2|CT65","TUBL2","7288","7288","false","7288","9606",""
"122340","RP4-620E11.3|64900|SMP2|LPIN3|LIPN3L","RP4-620E11.3","64900","64900","false","64900","9606",""
"123062","DOCK5|80005","DOCK5","80005","80005","false","80005","9606",""
"139225","548593|SLX1A|GIYD1","SLX1A","548593","548593","false","548593","9606",""
"111902","5970|NFKB3|RELA|p65","NFKB3","5970","5970","false","5970","9606",""
"107142","FAD|FAD1|BRCC2|GLM3|BRCA2|FANCD|675|FANCD1|BROVCA2|XRCC11|RP11-298P3.4|FACD|PNCA2","FAD","675","675","false","675","9606",""
"113870","8242|KDM5C|MRXJ|JARID1C|MRX13|MRXSCJ|MRXSJ|SMCX|RP11-258C19.2|DXS1272E|XE169","KDM5C","8242","8242","false","8242","9606",""
"109701","IGFIR|IGFR|JTK13|3480|IGF1R|CD221","IGFIR","3480","3480","false","3480","9606",""
"120490","PBRM1|BAF180|55193|PB1","PBRM1","55193","55193","false","55193","9606",""
"111308","MCAP|p110-alpha|PIK3CA|PI3K|CLOVE|MCM|CWS5|MCMTC|5290","MCAP","5290","5290","false","5290","9606",""
"117121","DDX58|RIG-I|23586|RLR-1|RP11-334P12.2|RIGI","DDX58","23586","23586","false","23586","9606",""
